,region,date,ano,trimestre,fgt0,fgt1,fgt2,a25,a50,a75,ingreso_promedio,ingreso_mediana,salario_minimo,kaitz_indice,time,kaitz_pre,treated,event_time,event_id,unit_id
10,Azuay,2002-01-01,2002,1,0.523640091892472,0.408439498565763,0.372076998633288,0.202971058068114,0.44474121517133,0.775112393451737,105.916754126556,61.9417188120979,104.88,1.69320454794218,5,3.38460621426127,0,3,0,Azuay_e0
11,Azuay,2002-04-01,2002,2,0.514357271900889,0.402522188788292,0.366905795564815,0.199912387038973,0.439100832826796,0.769118844189285,108.150125078218,64.1310205894736,104.88,1.63540201038396,6,3.38460621426127,0,4,0,Azuay_e0
12,"Costa, Santo Domingo",2001-01-01,2001,1,0.999999902458578,0.607767938946389,0.40806109252999,0.0367796888331226,0.0762855924242417,0.11807800809579,30.9118978994297,28.9839807022762,85.65,2.95508063160123,1,2.95508063160123,0,-1,0,"Costa, Santo Domingo_e0"
13,"Costa, Santo Domingo",2001-04-01,2001,2,1.00000002358977,0.632230788736796,0.39971576079755,-3.14530215206332e-08,-4.71795325029945e-08,-9.4359067226435e-08,29.2170329399284,29.2170329399284,85.65,2.93150917056158,2,2.95508063160123,0,0,0,"Costa, Santo Domingo_e0"
14,"Costa, Santo Domingo",2001-07-01,2001,3,0.850289377259933,0.545850506112013,0.391571618972512,0.365018131297083,0.643397994170511,0.806235535952697,364.146748592122,43.037924712635,85.65,1.99010525186534,3,2.95508063160123,0,1,0,"Costa, Santo Domingo_e0"
15,"Costa, Santo Domingo",2001-10-01,2001,4,0.850289377259933,0.545850506112013,0.391571618972512,0.365018131297085,0.64339799417051,0.806235535952698,367.211023535508,43.4000864917038,85.65,1.97349837116966,4,2.95508063160123,0,2,0,"Costa, Santo Domingo_e0"
16,"Costa, Santo Domingo",2002-01-01,2002,1,0.640625220234963,0.481707089607522,0.425698573695471,0.18947754778889,0.43066132775941,0.770572538857768,63.1430688638444,33.9155713647197,104.88,3.09238487749908,5,2.95508063160123,0,3,0,"Costa, Santo Domingo_e0"
17,"Costa, Santo Domingo",2002-04-01,2002,2,0.606045534659045,0.459332533069369,0.409962574901513,0.181104715810344,0.415903266768077,0.755900847590314,67.06248552756,39.8863233650065,104.88,2.62947274032318,6,2.95508063160123,0,4,0,"Costa, Santo Domingo_e0"
18,El Oro,2001-01-01,2001,1,0.987753689203225,0.621533986929961,0.455383540717255,0.0626371289608455,0.128013897716719,0.196099700768728,30.0646559746861,22.334029272707,85.65,3.83495512404775,1,3.83495512404775,1,-1,0,El Oro_e0
19,El Oro,2001-04-01,2001,2,0.999999901138363,0.673539262307103,0.528481103153261,0.0892474971720898,0.182515878523347,0.27777402896927,25.9353189510365,16.1993607175542,85.65,5.28724568168835,2,3.83495512404775,1,0,0,El Oro_e0
20,El Oro,2001-07-01,2001,3,0.958172755075835,0.687197363051457,0.534948982091626,0.181631264500375,0.3013209727937,0.386561802623183,34.0166060506993,22.694866540528,85.65,3.77398121496102,3,3.83495512404775,1,1,0,El Oro_e0
21,El Oro,2001-10-01,2001,4,0.947157423952521,0.634752686758764,0.473982704540394,0.174585564020904,0.289976831889461,0.371546836886012,40.9193170373218,23.0752853298307,85.65,3.71176342028913,4,3.83495512404775,1,2,0,El Oro_e0
22,El Oro,2002-01-01,2002,1,0.548102918355651,0.393897894867342,0.352681719762148,0.180416236387428,0.408708345322896,0.746199477543278,86.6766632654441,59.1453029859149,104.88,1.77326000045983,5,3.83495512404775,1,3,0,El Oro_e0
23,El Oro,2002-04-01,2002,2,0.550935652969209,0.400974818490882,0.360665331150426,0.184282923535391,0.416704504785287,0.755826484891737,87.1412039781636,59.0523330733493,104.88,1.77605175852625,6,3.83495512404775,1,4,0,El Oro_e0
24,Guayas,2001-01-01,2001,1,0.877116481166211,0.629989952636532,0.497456130942146,0.161460296791638,0.298978922395811,0.419228092014525,38.4533996724308,19.7533621605645,85.65,4.33597072254317,1,4.33597072254317,1,-1,0,Guayas_e0
25,Guayas,2001-04-01,2001,2,0.878380948638558,0.650976265864699,0.523235306715124,0.131236218448966,0.258222929704038,0.379693679378687,32.6300525193436,19.0572563511727,85.65,4.49435104517179,2,4.33597072254317,1,0,0,Guayas_e0
26,Guayas,2001-07-01,2001,3,0.866065081251656,0.581673892687332,0.440114013153786,0.109252750270958,0.215848168180922,0.319944902808729,39.5424225780114,26.7378520658331,85.65,3.20332387916259,3,4.33597072254317,1,1,0,Guayas_e0
27,Guayas,2001-10-01,2001,4,0.868769756306847,0.593609852526089,0.456709032936152,0.105365056605912,0.21130815037769,0.316582555517503,37.1451180222827,26.8566486281965,85.65,3.18915443195236,4,4.33597072254317,1,2,0,Guayas_e0
28,Guayas,2002-01-01,2002,1,0.576359192101016,0.405877650379662,0.35994405366795,0.217839684451471,0.451439983892877,0.761449020965367,94.5864586494765,59.5150043521248,104.88,1.76224468336539,5,4.33597072254317,1,3,0,Guayas_e0
29,Guayas,2002-04-01,2002,2,0.576414393696218,0.405370689511487,0.35932223323219,0.21724388408342,0.450712936941242,0.760877800718481,96.2084063942425,60.1304667112936,104.88,1.74420731679273,6,4.33597072254317,1,4,0,Guayas_e0
30,Los Ríos,2001-01-01,2001,1,0.923233557116186,0.68847115778916,0.560615383827428,0.121109213742147,0.244325889583597,0.365723138027989,25.8382755367628,12.404376366043,85.65,6.90482112703926,1,6.90482112703926,1,-1,0,Los Ríos_e0
31,Los Ríos,2001-04-01,2001,2,0.905345001679573,0.616979308496612,0.469657522183778,0.0833200798437996,0.166965232671585,0.248102870521618,31.5459575492085,30.4988680398948,85.65,2.80830094703723,2,6.90482112703926,1,0,0,Los Ríos_e0
