RGNAL	AREA	RN	CIUDAD	ZONA	SECTOR	VIVIENDA	HOGAR	FORMUL	PERSONA	NUMPERS	RESUMEN	RELJEFE	EDAD	SEXO	NIVINST	ANOINST	ASISTEA	SABELE	IESS	DONNAC	LUGNAC	SIEMVIC	DONVIAN	LUGVIAN	CUANVIC	TRABAJO	ACTAYUDA	HORTRASA	RATMEH	HORMAS	RATMAH	AUNOTRA	PORNOT	BUSTRASA	BUSTRAMA	SITIOS	AMIGOS	DIRECTO	PRENSA	AGEPU	AGEPRI	TRESNE	TIEMBUS	MOTNOBUS	DESEATRA	CONDINA	TRABANT	MOTNOTRA	TIEMNOT	RAMA	GRUPO	CATETRAB	PERTRABN	NPERTRA	NUMTRAB	ESTABIL	HORTRAHP	HORTRAHS	HORTRAHO	RAMAS	GRUPOS	CATES	INGPAT	PAT	RETPAT	INGASA	RETASA	INGASA1	ASA	INGASA2	INGSEC	SEC	RETSEC	INV	INGINV	JUB	INGJUB	OTR	INGOTR	BON	INGBON	NOV	DIC	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	VIVEFE	INGRL	SECINS	SUBEQU	FEXP	CONDACT	PEAMSIU
2	1	2	070150	018	010	09	1	1	5	7	1	3	5	2	3	 	1	 	 	1	 	1	 	 	5	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	098	 	0	0	125,4338	8	 
2	1	2	070150	018	010	09	1	1	6	7	1	3	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	098	 	0	0	125,4338	8	 
2	1	2	070150	018	010	09	1	1	7	7	1	3	9	1	3	4	1	 	 	1	 	1	 	 	9	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	098	 	0	0	125,4338	8	 
2	1	2	070150	018	010	10	1	1	1	8	1	1	44	2	3	6	2	1	2	2	111050	2	1	111050	20	1	 	24	1	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9500	9133	5	1	1	3	 	24	 	 	0	0	 	60	2	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	112	60	1	400	125,4338	3	4
2	1	2	070150	018	010	10	1	1	2	8	1	3	25	2	4	3	2	1	2	2	111050	2	1	111050	20	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	6	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	112	0	0	0	125,4338	7	 
2	1	2	070150	018	010	10	1	1	3	8	1	3	20	2	4	4	1	1	2	1	 	1	 	 	20	1	 	80	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9500	9131	12	1	3	3	2	80	 	 	0	0	 	 	 	0	100	0	100	2	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	112	100	0	0	125,4338	1	4
2	1	2	070150	018	010	10	1	1	4	8	1	3	18	2	4	4	1	1	2	1	 	1	 	 	18	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	5	 	8	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	112	0	0	0	125,4338	7	 
2	1	2	070150	018	010	10	1	1	5	8	1	3	19	2	4	1	2	1	2	1	 	1	 	 	19	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	112	0	0	0	125,4338	7	 
2	1	2	070150	018	010	10	1	1	6	8	1	3	17	1	4	1	2	1	2	1	 	1	 	 	17	1	 	56	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5239	9333	2	1	20	3	2	56	 	 	0	0	 	 	 	0	100	0	100	2	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	112	100	0	0	125,4338	1	1
2	1	2	070150	018	010	10	1	1	7	8	1	3	7	1	3	2	1	 	 	1	 	1	 	 	7	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	112	 	0	0	125,4338	8	 
2	1	2	070150	018	010	10	1	1	8	8	1	6	7	2	3	2	1	 	 	1	 	1	 	 	7	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	112	 	0	0	125,4338	8	 
2	1	2	070150	018	010	11	1	1	1	5	1	1	53	1	3	6	2	1	2	1	 	1	 	 	53	1	 	90	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6023	8324	2	1	2	3	2	90	 	 	0	0	 	 	 	0	100	0	100	2	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	120	100	0	0	125,4338	4	2
2	1	2	070150	018	010	11	1	1	2	5	1	2	51	2	3	6	2	1	2	1	 	1	 	 	51	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	6	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	1	11	3	3	3	3	3	3	3	3	3	3	3	3	120	0	0	0	125,4338	7	 
2	1	2	070150	018	010	11	1	1	3	5	1	3	20	2	5	2	2	1	2	1	 	1	 	 	20	1	 	35	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	8010	4115	2	1	12	3	2	35	 	 	0	0	 	 	 	0	80	0	80	2	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	120	80	0	0	125,4338	1	1
2	1	2	070150	018	010	11	1	1	4	5	1	3	18	2	4	5	1	1	2	1	 	1	 	 	18	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	120	0	0	0	125,4338	7	 
2	1	2	070150	018	010	11	1	1	5	5	1	3	6	1	3	 	1	 	 	1	 	1	 	 	6	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	120	 	0	0	125,4338	8	 
2	1	2	070150	018	010	12	1	1	1	7	1	1	49	2	3	2	2	1	2	2	071350	2	1	070950	15	1	 	50	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9500	9133	5	1	1	3	 	50	 	 	0	0	 	50	2	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	135	50	1	0	125,4338	1	4
2	1	2	070150	018	010	12	1	1	2	7	1	2	66	1	3	3	2	1	2	2	070953	2	1	070950	25	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	7	 	7	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	135	0	0	0	125,4338	7	 
2	1	2	070150	018	010	12	1	1	3	7	1	3	23	1	3	3	2	1	2	1	 	2	1	070950	15	1	 	70	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6021	5112	2	1	3	3	2	70	 	 	0	0	 	 	 	0	40	0	40	2	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	135	40	0	586	125,4338	4	2
2	1	2	070150	018	010	12	1	1	4	7	1	3	17	1	3	6	2	1	2	1	 	2	1	070950	15	1	 	50	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9309	9120	5	1	1	3	 	50	 	 	0	0	 	20	2	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	135	20	1	793	125,4338	4	2
2	1	2	070150	018	010	12	1	1	5	7	1	3	16	1	3	3	2	1	2	1	 	2	1	070950	15	1	 	40	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9309	9120	5	1	1	3	 	40	 	 	0	0	 	20	2	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	135	20	1	793	125,4338	4	2
2	1	2	070150	018	010	12	1	1	6	7	1	3	13	2	3	5	1	1	2	1	 	1	 	 	13	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	135	0	0	0	125,4338	7	 
2	1	2	070150	018	010	12	1	1	7	7	1	3	25	1	3	4	2	1	2	2	070950	2	1	070950	15	1	 	48	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	500	9111	10	1	1	3	 	48	 	 	0	0	 	60	2	0	0	0	0	 	0	60	2	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	135	120	0	0	125,4338	1	3
2	1	2	070150	019	008	01	1	1	1	4	1	1	86	2	1	 	 	1	2	1	 	1	 	 	86	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	8	 	6	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	1	100	2	0	3	3	3	3	3	3	3	3	3	3	3	3	005	0	0	0	87,252933	7	 
2	1	2	070150	019	008	01	1	1	2	4	1	3	53	2	4	3	2	1	2	2	070950	2	1	070950	38	1	 	16	1	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	113	6112	9	1	2	3	 	10	 	 	0	0	 	600	2	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	005	600	0	600	87,252933	3	3
2	1	2	070150	019	008	01	1	1	3	4	1	6	26	2	3	4	2	2	2	2	170150	1	 	 	26	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	7	 	7	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	005	0	0	0	87,252933	7	 
2	1	2	070150	019	008	01	1	1	4	4	1	6	20	2	5	1	2	1	2	1	 	1	 	 	20	1	 	40	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2101	4115	2	2	 	3	3	40	 	 	0	0	 	 	 	0	200	10	210	2	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	005	210	0	0	87,252933	1	1
2	1	2	070150	019	008	02	1	1	1	4	1	1	30	2	4	3	1	1	1	2	110853	2	1	110853	23	1	 	40	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5252	5230	5	1	1	3	 	40	 	 	0	0	 	200	1	10	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	011	210	1	0	87,252933	4	2
2	1	2	070150	019	008	02	1	1	2	4	1	3	13	2	4	1	1	1	2	1	 	1	 	 	13	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	8	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	1	50	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	011	0	0	0	87,252933	7	 
2	1	2	070150	019	008	02	1	1	3	4	1	3	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	011	 	0	0	87,252933	8	 
2	1	2	070150	019	008	02	1	1	4	4	1	7	22	2	5	1	1	1	2	1	 	2	1	071250	3	2	12	 	 	 	 	2	 	1	 	 	4	 	6	7	 	 	88	 	 	 	1	3	12	5233	9113	2	2	 	5	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	1	1	3	3	3	3	3	3	3	3	3	3	011	0	0	0	87,252933	5	1
2	1	2	070150	019	008	03	1	1	1	8	1	1	51	1	4	3	2	1	2	2	060150	2	1	060150	20	1	 	40	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2925	7233	4	1	10	3	 	40	 	 	0	0	 	500	2	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	027	500	1	0	87,252933	1	1
2	1	2	070150	019	008	03	1	1	2	8	1	2	53	2	4	6	2	1	2	2	060150	2	1	060150	20	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	5	 	6	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	027	0	0	0	87,252933	7	 
2	1	2	070150	019	008	03	1	1	3	8	1	3	33	1	4	6	2	1	2	2	060150	2	1	060150	20	1	 	50	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2925	5220	2	1	10	3	4	50	 	 	0	0	 	 	 	0	200	0	200	2	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	027	200	0	0	87,252933	1	1
2	1	2	070150	019	008	03	1	1	4	8	1	3	26	2	4	6	2	1	2	2	060150	2	1	060150	20	1	 	40	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6519	4115	2	2	 	3	3	40	 	 	0	0	 	 	 	0	200	10	210	2	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	027	210	0	0	87,252933	1	1
2	1	2	070150	019	008	03	1	1	5	8	1	3	28	2	4	6	2	1	2	1	 	1	 	 	24	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	6	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	027	0	0	0	87,252933	7	 
2	1	2	070150	019	008	03	1	1	6	8	1	3	9	1	3	4	1	 	 	1	 	1	 	 	9	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	8	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	027	 	0	0	87,252933	8	 
2	1	2	070150	019	008	03	1	1	7	8	1	3	6	2	3	1	1	 	 	1	 	1	 	 	6	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	8	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	027	 	0	0	87,252933	8	 
2	1	2	070150	019	008	03	1	1	8	8	1	3	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	027	 	0	0	87,252933	8	 
2	1	2	070150	019	008	04	1	1	1	8	1	1	60	1	4	2	2	1	2	2	092650	2	1	092650	44	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	8	 	4	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	1	40	2	 	2	0	1	1	3	3	3	3	3	3	3	3	3	3	021	0	0	0	87,252933	7	 
2	1	2	070150	019	008	04	1	1	2	8	1	2	59	2	4	6	2	1	2	1	 	1	 	 	59	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	8	 	6	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	021	0	0	0	87,252933	7	 
2	1	2	070150	019	008	04	1	1	3	8	1	3	33	2	4	6	2	1	2	1	 	1	 	 	33	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	6	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	1	200	2	0	3	3	3	3	3	3	3	3	3	3	3	3	021	0	0	0	87,252933	7	 
2	1	2	070150	019	008	04	1	1	4	8	1	5	84	1	3	6	2	1	2	2	070650	1	 	 	64	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	8	 	8	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	021	0	0	0	87,252933	7	 
2	1	2	070150	019	008	04	1	1	5	8	1	3	30	2	5	4	1	1	2	1	 	1	 	 	30	1	 	56	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6304	4115	2	1	3	3	3	50	 	 	0	0	 	 	 	0	200	8	208	2	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	021	208	0	0	87,252933	4	2
2	1	2	070150	019	008	04	1	1	6	8	1	4	44	1	4	6	2	1	1	1	 	1	 	 	44	1	 	56	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	113	9211	8	2	 	3	3	60	 	 	0	0	 	 	 	0	120	10	130	2	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	021	130	1	0	87,252933	1	3
2	1	2	070150	019	008	04	1	1	7	8	1	6	17	1	4	6	1	1	2	1	 	1	 	 	17	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	8	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	021	0	0	0	87,252933	7	 
2	1	2	070150	019	008	04	1	1	8	8	1	6	16	2	3	5	1	1	2	1	 	1	 	 	16	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	021	0	0	0	87,252933	7	 
2	1	2	070150	019	008	05	1	1	1	4	1	1	60	1	1	 	 	1	1	1	 	1	 	 	60	1	 	40	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6022	8322	5	1	1	3	 	45	 	 	0	0	 	300	2	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	038	300	1	0	87,252933	4	2
2	1	2	070150	019	008	05	1	1	2	4	1	2	60	2	5	6	2	1	2	2	071250	2	1	071250	35	1	 	70	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	8021	2320	1	2	 	4	1	40	30	 	8030	2310	1	 	 	0	200	10	210	2	0	150	2	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	038	360	2	0	87,252933	1	1
2	1	2	070150	019	008	05	1	1	3	4	1	3	20	1	4	6	1	1	2	1	 	1	 	 	20	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	038	0	0	0	87,252933	7	 
2	1	2	070150	019	008	05	1	1	4	4	1	3	19	2	4	6	1	1	2	1	 	1	 	 	19	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	038	0	0	0	87,252933	7	 
2	1	2	070150	019	008	06	1	1	1	4	1	1	75	2	1	 	 	1	2	2	030150	2	1	030150	32	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	8	 	6	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	1	6	1	1	3	3	3	3	3	3	3	3	3	3	043	0	0	0	87,252933	7	 
2	1	2	070150	019	008	06	1	1	2	4	1	3	43	2	4	6	2	1	2	1	 	1	 	 	43	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	8	 	6	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	043	0	0	0	87,252933	7	 
2	1	2	070150	019	008	06	1	1	3	4	1	7	50	1	4	6	1	1	1	2	071350	2	1	071350	15	1	 	72	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	7492	5169	2	2	 	3	1	72	 	 	0	0	 	 	 	0	150	6	156	2	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	043	156	0	0	87,252933	1	1
2	1	2	070150	019	008	06	1	1	4	4	1	3	33	2	1	 	 	2	2	1	 	1	 	 	33	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	7	 	7	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	043	0	0	0	87,252933	7	 
2	1	2	070150	019	008	07	1	1	1	7	1	1	50	1	4	4	2	1	1	2	010150	2	1	010150	40	1	 	72	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6021	8323	2	2	 	3	3	72	 	 	0	0	 	 	 	0	300	20	320	2	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	054	320	0	0	87,252933	1	1
2	1	2	070150	019	008	07	1	1	2	7	1	2	40	2	4	5	1	1	1	1	 	1	 	 	40	1	 	40	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	8511	5132	1	2	 	3	1	40	 	 	0	0	 	 	 	0	200	0	200	2	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	054	200	2	0	87,252933	1	1
2	1	2	070150	019	008	07	1	1	3	7	1	3	21	2	4	4	1	1	2	1	 	2	1	091050	88	1	 	15	1	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1920	7442	5	1	1	3	 	20	 	 	0	0	 	20	2	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	1	1	1	054	20	1	625	87,252933	4	2
2	1	2	070150	019	008	07	1	1	4	7	1	3	15	1	4	4	1	1	2	1	 	1	 	 	15	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	8	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	054	0	0	0	87,252933	7	 
2	1	2	070150	019	008	07	1	1	5	7	1	6	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	054	 	0	0	87,252933	8	 
2	1	2	070150	019	008	07	1	1	6	7	1	6	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	054	 	0	0	87,252933	8	 
2	1	2	070150	019	008	07	1	1	7	7	1	4	25	1	3	7	2	1	1	2	091050	2	1	091050	88	1	 	72	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	500	9211	7	2	 	3	3	72	 	 	0	0	 	 	 	0	80	10	90	2	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	054	90	1	68	87,252933	2	3
2	1	2	070150	019	008	08	1	1	1	5	1	1	68	1	4	2	2	1	2	1	 	1	 	 	68	1	 	24	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4520	7122	4	1	4	3	 	40	 	 	0	0	 	80	2	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	053	80	1	0	87,252933	4	2
2	1	2	070150	019	008	08	1	1	2	5	1	2	69	2	3	7	2	1	2	2	110150	2	1	110150	46	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	8	 	6	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	 	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	053	0	0	0	87,252933	7	 
