RGNAL	AREA	RN	CIUDAD	ZONA	SECTOR	VIVIENDA	HOGAR	FORMUL	PERSONA	NUMPERS	RESUMEN	RELJEFE	EDAD	SEXO	NIVINST	ANOINST	ASISTEA	SABELE	IESS	DONNAC	LUGNAC	SIEMVIC	DONVIAN	LUGVIAN	CUANVIC	TRABAJO	ACTAYUDA	HORTRASA	RATMEH	HORMAS	RATMAH	AUNOTRA	PORNOT	BUSTRASA	BUSTRAMA	SITIOS	AMIGOS	DIRECTO	PRENSA	AGEPU	AGEPRI	TRESNE	TIEMBUS	MOTNOBUS	DESEATRA	CONDINA	TRABANT	MOTNOTRA	TIEMNOT	RAMA	GRUPO	CATETRAB	PERTRABN	NPERTRA	NUMTRAB	ESTABIL	HORTRAHP	HORTRAHS	HORTRAHO	RAMAS	GRUPOS	CATES	INGPAT	PAT	RETPAT	INGASA	RETASA	INGASA1	ASA	INGASA2	INGSEC	SEC	RETSEC	INV	INGINV	JUB	INGJUB	OTR	INGOTR	BON	INGBON	NOV	DIC	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	VIVEFE	INGRL	SECINS	SUBEQU	FEXP	CONDACT	PEAMSIU
4	1	1	010150	001	004	02	1	1	5	5	1	3	20	1	5	1	1	1	2	1	 	1	 	 	20	1	 	52	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5219	5220	2	1	2	4	2	36	18	 	5520	5123	2	 	 	0	50	0	50	2	0	0	 	0	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	012	50	0	482	107,040833	4	2
4	1	1	010150	001	004	03	1	1	1	3	1	1	90	1	3	2	2	1	2	1	 	1	 	 	90	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	8	 	3	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	1	100	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	028	0	0	0	107,040833	7	 
4	1	1	010150	001	004	03	1	1	2	3	1	3	54	2	3	3	2	1	2	1	 	1	 	 	54	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	1	2	6	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	028	0	0	0	107,040833	7	 
4	1	1	010150	001	004	03	1	1	3	3	1	6	7	2	3	2	1	 	 	1	 	1	 	 	7	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	8	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	028	 	0	0	107,040833	8	 
4	1	1	010150	001	004	04	1	1	1	4	1	1	76	1	3	6	2	1	1	1	 	1	 	 	76	1	 	60	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	112	6120	10	1	2	3	 	60	 	 	0	0	 	60	1	60	0	0	0	 	0	0	 	0	1	48	1	30	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	035	120	0	0	107,040833	1	3
4	1	1	010150	001	004	04	1	1	2	4	1	2	70	2	3	3	2	1	2	1	 	1	 	 	70	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	6	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	035	0	0	0	107,040833	7	 
4	1	1	010150	001	004	04	1	1	3	4	1	3	44	1	3	6	2	1	2	1	 	1	 	 	44	1	 	36	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	112	6210	11	1	2	3	 	36	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	035	0	0	0	107,040833	1	3
4	1	1	010150	001	004	04	1	1	4	4	1	3	32	2	5	5	2	1	1	1	 	1	 	 	32	1	 	52	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	7512	4121	2	2	 	4	2	40	 	 	5239	4121	2	 	 	0	177	93	270	2	0	28	2	0	2	0	2	0	1	350	2	0	1	1	1	1	1	1	1	1	1	1	1	1	035	298	0	0	107,040833	1	1
4	1	1	010150	001	004	05	1	1	1	5	1	1	48	1	5	5	2	1	1	2	010171	2	1	010171	35	1	 	48	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5020	7231	2	1	17	3	3	48	 	 	0	0	 	 	 	0	400	0	400	2	0	0	 	0	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	051	400	0	0	107,040833	1	1
4	1	1	010150	001	004	05	1	1	2	5	1	2	38	2	3	3	2	1	2	1	 	1	 	 	38	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	7	 	6	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	051	0	0	0	107,040833	7	 
