,fgt0,fgt1,fgt2,a25,a50,a75,ingreso_promedio
t1,0.4643436064116676,0.33182471933240026,0.29366595688258346,0.24722233091887336,0.48286464051057554,0.7547491465591984,1364.786893730763
t2,0.5617339468730391,0.40630747788394256,0.36263029992628926,0.24415897803820596,0.49007357286274655,0.7854831112387074,836.1158103021974
t3,0.57227587255722,0.3995125711713908,0.3460066638613637,0.26156541348277185,0.5129973994168529,0.7902794858445923,1222.8744943843492
t4,0.8168677577350376,0.5895649432757675,0.5235435110989048,0.3769500489738835,0.6695225717985365,0.9082273845274346,733.0145090232229
