,fgt0,fgt1,fgt2,a25,a50,a75,ingreso_promedio
t1,0.4999638287518389,0.3612465449257981,0.3184524032610997,0.23086790298564952,0.46464037084443366,0.7502272620727268,842.0499382924976
t2,0.6380246723785792,0.4743769755378289,0.4154340858812533,0.2625809114892943,0.5210446300845502,0.8163347930729699,519.4668969465308
t3,0.6967365191671061,0.5131200864260292,0.46033757473639264,0.25705588532006673,0.5315484587700602,0.8484749094890262,410.4819436668714
t4,0.689001772405395,0.6001486035551887,0.5738467843234626,0.24289761070120663,0.5571025939656103,0.9066719522460398,196.862122157867
