,fgt0,fgt1,fgt2,a25,a50,a75,ingreso_promedio
t1,0.5350598433552052,0.39575798057771855,0.3564262383088952,0.2849688838126174,0.521385906233178,0.7984892124822557,128.1552698703035
t2,0.5343121583114203,0.39615679151688993,0.3570124080625862,0.2847184048650837,0.5212630490336109,0.7987230181479963,129.11591078174052
t3,0.5253672528490015,0.3880270150307649,0.3495046345178054,0.279893058787983,0.5139272389212559,0.7919432689576165,130.80140524048144
t4,0.5472314227273747,0.4100821554850009,0.37005549644466146,0.2673931890595753,0.5108277710816245,0.8008390638720981,124.58208975455948
