ano,trimestre,region,fgt0,fgt1,fgt2,a25,a50,a75,ingreso_promedio,ingreso_mediana,salario_minimo,kaitz_indice
1990,2,Amazonía,0.8701674991031761,0.5702684723349629,0.4580572620789244,0.16138506911651673,0.3755259261566075,0.7114192138561508,33.50100823995916,25.86483786129148,39.0,1.5078385648172261
1990,2,Azuay,0.846350509717324,0.5426270650502063,0.4299867898893751,0.17215742294706038,0.38201106642497273,0.697452544338351,40.72101722126455,29.922158105770954,39.0,1.3033819239287503
1990,2,"Costa, Santo Domingo",0.8741934409855169,0.597360034533979,0.48169599077953157,0.15683361015094444,0.3685941040909062,0.7053747007708168,29.941165806120782,23.28476776588568,39.0,1.6749147078519966
1990,2,El Oro,0.881912524828135,0.6512057276344893,0.5562630756111925,0.1975893890442748,0.45294313427115795,0.8038909224045544,26.035558605296508,17.14062180083433,39.0,2.2752966872007905
1990,2,Guayas,0.8610437091726011,0.5777184616880856,0.46532281098229966,0.1795366012227344,0.39610347035132354,0.7174750256589162,35.6985721326123,25.069901731477263,39.0,1.5556502940349537
1990,2,Los Ríos,0.9010371982140184,0.6058756306300387,0.4909048512532674,0.16322495980745289,0.37640148644931104,0.7050101599026293,29.845415475081175,23.51542750043119,39.0,1.6584856898427587
1990,2,Manabí,0.9029632455805672,0.6388472701127562,0.5291771286445582,0.18406451181066874,0.4138545830591225,0.7477155356382128,27.70764942972373,20.77651127373858,39.0,1.8771197669406523
1990,2,Pichincha,0.7780214632043068,0.5003310554728454,0.3897198610238448,0.1702068249776152,0.36609055853040606,0.657232321378481,49.225807869238594,31.502470196071293,39.0,1.237998155613325
1990,2,Sierra,0.8965056557091736,0.6311489458521651,0.5222988656733114,0.1853017960444734,0.4208181678193118,0.7615155505692033,28.761085184914435,20.318031190590542,39.0,1.919477317175359
1990,3,Amazonía,0.9052777930730687,0.6010520643640006,0.48194077376742,0.1603709650549363,0.3740729161467474,0.7101658010363419,30.098099584533614,23.491617199392824,39.0,1.6601666743066124
1990,3,Azuay,0.8743456897058745,0.5730882678461012,0.4551259817201493,0.17345260101702564,0.38515372173818707,0.7022552905372601,36.6361643931101,26.700399383059658,39.0,1.460652308622168
1990,3,"Costa, Santo Domingo",0.9055500756230683,0.6259916726305104,0.50617382376254,0.15653566905501926,0.36712150440942526,0.7020401335694226,27.039795411180236,19.645798307480423,39.0,1.9851573038470105
1990,3,El Oro,0.9139171245291167,0.6618710938027268,0.5600791319949624,0.1894801806151578,0.43708036803989414,0.7871848750975351,24.40737530401738,16.677148022163188,39.0,2.3385293425572966
1990,3,Guayas,0.890497142655215,0.5956376660154713,0.4763207336563909,0.17447642594496382,0.38631062530856186,0.7055763846819048,33.13408542246289,23.907250970357993,39.0,1.6313042452415434
1990,3,Los Ríos,0.901846779054198,0.6233613071338826,0.5026896249356155,0.15679922206048735,0.36198780830559896,0.6847196978183099,27.793596330234568,21.55599027149192,39.0,1.8092418631111564
1990,3,Manabí,0.9162342338033633,0.6494258251685966,0.5344032969739759,0.17647986243117342,0.40098516584624655,0.7350465422459924,26.024788241704915,20.234087472930675,39.0,1.9274405160190453
1990,3,Pichincha,0.805822434405561,0.5246092411356851,0.4088400293341562,0.16955849103375187,0.36449234818110376,0.654706852493801,44.983516428172095,28.385704115933,39.0,1.3739310408054721
1990,3,Sierra,0.9137131144137377,0.653571158859074,0.5396670105602298,0.18163279595850967,0.4143629236196157,0.7549668412451094,26.096758916314506,18.45375615862623,39.0,2.1133908817674176
1990,4,Amazonía,0.9046627011320961,0.6034309776685157,0.48437227218536943,0.1630123802668192,0.378647254594241,0.715020207140542,30.27519251022756,23.32386109008651,39.0,1.6721073689028452
1990,4,Azuay,0.8756898506644598,0.5773125196776938,0.458174901942562,0.17390735913391742,0.3854414212435582,0.701702750129874,36.5927974686872,26.72525749905746,39.0,1.4592937037697558
1990,4,"Costa, Santo Domingo",0.9046503136721213,0.6314738981361296,0.5124961008899972,0.16001689830653554,0.3755606054302718,0.7148147152094839,26.707159962473728,19.505505595390574,39.0,1.9994354829344312
1990,4,El Oro,0.91710310638468,0.6725297174028668,0.5723335430669155,0.19637394680904374,0.4518649130163198,0.8044628774310011,23.715171515871873,16.39272372724592,39.0,2.379104330000945
1990,4,Guayas,0.8965437451010314,0.6105409911055393,0.49285333860093955,0.18154197450056653,0.40079282250060255,0.7245568092647029,32.02374333666445,22.504304539644945,39.0,1.7330017877822104
1990,4,Los Ríos,0.921539192330146,0.640154446545496,0.5195029427906892,0.1630265071998236,0.37681908735644276,0.7067414188539283,26.416874029612494,21.2052581746465,39.0,1.8391664783704125
1990,4,Manabí,0.917315950630096,0.6680067843609084,0.5546804446699781,0.18530775552174716,0.4156132256578252,0.7490361471623688,25.039919295926076,17.876515118711733,39.0,2.181633262468358
1990,4,Pichincha,0.8153247320929877,0.5348964834516275,0.4183676359106377,0.17174160902378444,0.36891785757250994,0.6609011700732387,43.743815904113745,27.9963447827737,39.0,1.3930389950046946
1990,4,Sierra,0.9151650322303557,0.6607186596893575,0.5482977148503,0.1868256896566428,0.42410430060309845,0.7656797915307554,25.810118710238324,18.321975944902228,39.0,2.128591376676874
1991,1,Amazonía,0.5323460064839375,0.22907766140544128,0.12976216300055438,0.09923939623061973,0.18194121767523697,0.2524863319668025,86.15825954066159,61.98593477349474,36.0,0.5807769154655653
1991,1,Azuay,0.50995539114351,0.20808983177376147,0.11760885106563981,0.10701359900130147,0.19826314582633697,0.2781310553061389,103.54232981041356,63.29794686868022,36.0,0.5687388261531872
