,fgt0,fgt1,fgt2,a25,a50,a75,ingreso_promedio
t1,0.4960739880394278,0.3621517117587809,0.321918066583511,0.2908937467168671,0.5462298969847361,0.8061774967950763,2029.8694991473942
t2,0.6463128862344988,0.48178049633454645,0.42801113981456446,0.3559035205814217,0.6415710415569464,0.885983601446502,1651.4682162756883
t3,0.6422994712566092,0.47936304232528176,0.4321736505639191,0.3264447220393656,0.6120657612618359,0.8785229180949925,1485.203557073482
t4,0.6861655293858684,0.509773725201333,0.45450345136209425,0.23475802016835634,0.5066950732245881,0.8405130228800256,687.8912886166595
